State,Year,Category,SubCat,Value
Arkansas,2014,Expenditure,Other,1337.843923
Arkansas,2014,HP,Housing Prices,126389.3528
Arkansas,2015,TotalIncome,Income,22860.58947
Arkansas,2015,Expenditure,Income Tax,2730.640068
Arkansas,2015,Expenditure,Other,1295.943294
Arkansas,2015,HP,Housing Prices,145150.2893
Arkansas,2016,TotalIncome,Income,25153.58901
Arkansas,2016,Expenditure,Income Tax,3460.627791
Arkansas,2016,Expenditure,Other,1463.913631
Arkansas,2016,HP,Housing Prices,160219.6521
Arkansas,2017,TotalIncome,Income,28489.13632
Arkansas,2017,Expenditure,Income Tax,4570.104634
Arkansas,2017,Expenditure,Other,1579.02003
Arkansas,2017,HP,Housing Prices,161824.1744
Arkansas,2018,TotalIncome,Income,27835.88464
Arkansas,2018,Expenditure,Income Tax,4006.573103
Arkansas,2018,Expenditure,Other,1623.26897
Arkansas,2018,HP,Housing Prices,170253.7118
Arkansas,2019,TotalIncome,Income,28100.34707
Arkansas,2019,Expenditure,Income Tax,9860.096287
Arkansas,2019,Expenditure,Other,2422.49528
Arkansas,2019,HP,Housing Prices,182478.5333
Arkansas,2020,TotalIncome,Income,32287.85221
Arkansas,2020,Expenditure,Income Tax,12332.91654
Arkansas,2020,Expenditure,Other,2653.200735
Arkansas,2020,HP,Housing Prices,194588.572
Arkansas,2021,TotalIncome,Income,31204.3663
Arkansas,2021,Expenditure,Income Tax,7125.41558
Arkansas,2021,Expenditure,Other,2798.897464
Arkansas,2021,HP,Housing Prices,184453.0391
California,2012,TotalIncome,Income,26379.51925
California,2012,Expenditure,Income Tax,3971.959266
California,2012,Expenditure,Other,1161.30763
California,2012,HP,Housing Prices,433328.742
California,2013,TotalIncome,Income,27198.12996
California,2013,Expenditure,Income Tax,3890.289769
California,2013,Expenditure,Other,1223.548612
California,2013,HP,Housing Prices,453712.2608
California,2014,TotalIncome,Income,30686.07283
California,2014,Expenditure,Income Tax,5050.94848
California,2014,Expenditure,Other,1429.131394
California,2014,HP,Housing Prices,472837.3446
California,2015,TotalIncome,Income,29175.09463
California,2015,Expenditure,Income Tax,4520.976759
California,2015,Expenditure,Other,1351.056604
California,2015,HP,Housing Prices,491573.712
California,2016,TotalIncome,Income,31073.9158
California,2016,Expenditure,Income Tax,5387.733374
California,2016,Expenditure,Other,1343.838556
California,2016,HP,Housing Prices,504154.5104
California,2017,TotalIncome,Income,32517.92156
California,2017,Expenditure,Income Tax,5323.34443
California,2017,Expenditure,Other,1482.416117
California,2017,HP,Housing Prices,561582.1566
California,2018,TotalIncome,Income,33761.82111
California,2018,Expenditure,Income Tax,5625.726575
California,2018,Expenditure,Other,1377.676953
California,2018,HP,Housing Prices,554167.2185
California,2019,TotalIncome,Income,35232.77869
California,2019,Expenditure,Income Tax,15915.22021
California,2019,Expenditure,Other,2215.897293
California,2019,HP,Housing Prices,615246.6211
California,2020,TotalIncome,Income,39390.68655
California,2020,Expenditure,Income Tax,17879.19314
California,2020,Expenditure,Other,2451.129867
California,2020,HP,Housing Prices,643067.6032
California,2021,TotalIncome,Income,38210.60693
California,2021,Expenditure,Income Tax,12392.60599
California,2021,Expenditure,Other,2350.929782
California,2021,HP,Housing Prices,681156.996
Colorado,2012,TotalIncome,Income,28969.57917
Colorado,2012,Expenditure,Income Tax,4125.654135
Colorado,2012,Expenditure,Other,1533.371738
Colorado,2012,HP,Housing Prices,299302.099
Colorado,2013,TotalIncome,Income,29909.34435
Colorado,2013,Expenditure,Income Tax,4124.728603
Colorado,2013,Expenditure,Other,1719.394678
Colorado,2013,HP,Housing Prices,294898.3663
Colorado,2014,TotalIncome,Income,38044.04765
Colorado,2014,Expenditure,Income Tax,7296.104244
Colorado,2014,Expenditure,Other,1797.147431
Colorado,2014,HP,Housing Prices,312899.7633
Colorado,2015,TotalIncome,Income,32091.61266
Colorado,2015,Expenditure,Income Tax,5035.307127
Colorado,2015,Expenditure,Other,1686.387025
Colorado,2015,HP,Housing Prices,322065.7362
Colorado,2016,TotalIncome,Income,32984.10916
Colorado,2016,Expenditure,Income Tax,5249.202606
Colorado,2016,Expenditure,Other,1672.346361
Colorado,2016,HP,Housing Prices,291778.3175
Colorado,2017,TotalIncome,Income,35190.90821
Colorado,2017,Expenditure,Income Tax,5661.492632
Colorado,2017,Expenditure,Other,2041.540211
Colorado,2017,HP,Housing Prices,332562.6756
Colorado,2018,TotalIncome,Income,37921.13232
Colorado,2018,Expenditure,Income Tax,6277.132321
Colorado,2018,Expenditure,Other,2293.745336
Colorado,2018,HP,Housing Prices,335223.8857
Colorado,2019,TotalIncome,Income,39823.11136
Colorado,2019,Expenditure,Income Tax,16094.9195
Colorado,2019,Expenditure,Other,3159.344365
Colorado,2019,HP,Housing Prices,390187.512
Colorado,2020,TotalIncome,Income,43045.16036
Colorado,2020,Expenditure,Income Tax,20072.71083
